TIC,provenance,rotate?,prot,snr,power,mpower,func,gmag
242944633,Hyades,1.0,12.658227848101255,38056.10316021042,0.7513781913020818,4.301639609987011e-05,0.14704544876475276,9.769129
245787593,Hyades,1.0,13.157894736842096,10433.09647459659,0.6249837637840551,9.977998279174174e-05,0.17904723133712344,10.026131
436648713,Hyades,1.0,10.869565217391296,13647.778747977838,0.5878491581459814,4.307288160229603e-05,0.170840680003019,10.180463
389044637,Hyades,1.0,12.34567901234567,5763.795424304697,0.33648104261028744,0.00011364074592012461,0.1446370729113229,10.819927
245948461,Hyades,1.0,7.575757575757571,6802.3465649292175,0.5031333937368981,0.0003103916108423083,0.10205514008410485,10.491406
389042741,Hyades,1.0,6.944444444444439,2619.6900427000737,0.4869527047599299,0.0001858818015959,0.1474330819464119,10.703841
373134703,Hyades,1.0,10.101010101010091,2133.1802017541695,0.6294320237385833,0.0002950674411946,0.1991832911342384,11.071595
15756558,Hyades,1.0,6.3291139240506284,2708.8396069592186,0.28594511490914987,0.00012268258922973249,0.10230492256046556,10.836196
434234748,Hyades,1.0,7.299270072992695,9704.156906265354,0.4554494552046529,4.693343889674725e-05,0.1749646701730322,10.929824
436655312,Hyades,1.0,10.752688172043005,3129.065040228583,0.4935639814439714,0.0001605673993716,0.1364913196111267,10.98731
436635454,Hyades,1.0,7.246376811594198,1406.2575143956424,0.5302148436294762,0.0003770396518431,0.1180358071473079,11.648043
17409372,Hyades,1.0,5.988023952095804,4494.2898874492785,0.4361599356178524,9.70475751543908e-05,0.1250469544686716,11.957183
245949052,Hyades,1.0,7.999999999999995,2428.5098141715685,0.6070592734912215,0.0002499719251488,0.1594082676014921,12.012856
399697011,Hyades,1.0,9.900990099009894,28918.210854741203,0.9308133179120706,3.784351188067092e-05,0.1598218721222249,11.950686
245948074,Hyades,1.0,1.2836970474967897,24803.715342218056,0.8950033003610911,8.22760917451461e-05,0.01764038557866795,12.363147
245858485,Hyades,1.0,7.812499999999995,447.3451502106202,0.360755474179345,0.0008064365378936,0.1403897144516878,12.256755
389019328,Hyades,1.0,11.49425287356321,305.92472319528815,0.1870983522971721,0.00066122819358805,0.16188209409675366,12.427655
435880145,Hyades,1.0,2.39808153477218,2736.9901978943153,0.5640066490176974,0.00021772105330369998,0.036545661260270895,13.256185
245870883,Hyades,1.0,12.34567901234567,131.54157242237682,0.150351808989971,0.0011429984165553,0.2053709851036106,13.615199
29002055,Hyades,1.0,1.926782273603081,2947.75031254442,0.6768134205732486,0.00028932750238105,0.029019246560571497,13.823402
242985065,Hyades,1.0,0.8688097306689826,1074.2920466480107,0.4535463658683139,0.00043202730609196664,0.011924687693586367,15.08387
